City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vorgashor,67.5833,63.95,-1.22,93,100,2.3,RU,1717879994
1,springbok,-29.6643,17.8865,10.86,41,44,4.34,ZA,1717879994
2,albany,42.6001,-73.9662,22.54,57,70,0.45,US,1717879994
3,qui nhon,13.7667,109.2333,27.84,73,100,1.48,VN,1717879995
4,impfondo,1.6381,18.0667,22.14,97,99,1.68,CG,1717879995
5,ushuaia,-54.8,-68.3,1.81,69,20,6.69,AR,1717879973
6,port-aux-francais,-49.35,70.2167,6.15,96,100,13.39,TF,1717879995
7,tazacorte,28.629,-17.9293,21.75,87,100,4.63,ES,1717879995
8,valparaiso,-33.0393,-71.6273,17.86,81,100,8.75,CL,1717879859
9,invercargill,-46.4,168.35,7.23,89,100,1.34,NZ,1717879995
10,huarmey,-10.0681,-78.1522,21.28,73,21,4.33,PE,1717879996
11,kentville,45.0835,-64.4988,18.01,89,74,1.54,CA,1717879996
12,waitangi,-43.9535,-176.5597,9.9,82,3,3.13,NZ,1717879996
13,ilulissat,69.2167,-51.1,4.01,81,0,2.57,GL,1717879996
14,rudnya,54.947,31.0934,10.09,90,65,1.92,RU,1717879996
15,stanley,54.868,-1.6985,10.16,66,20,9.26,GB,1717879997
16,iqaluit,63.7506,-68.5145,1.85,64,75,7.2,CA,1717879997
17,adamstown,-25.066,-130.1015,22.74,81,39,6.06,PN,1717879997
18,port elizabeth,-33.918,25.5701,13.95,78,99,1.3,ZA,1717879997
19,tolanaro,-25.0319,46.9987,21.04,78,75,7.2,MG,1717879997
20,hovd,48.0056,91.6419,17.53,35,22,3.47,MN,1717879997
21,port alfred,-33.5906,26.891,14.75,77,45,4.35,ZA,1717879998
22,katsuren-haebaru,26.3369,127.8719,26.21,97,100,3.09,JP,1717879998
23,blackmans bay,-43.0167,147.3167,8.07,91,33,0.45,AU,1717879998
24,walvis bay,-22.9575,14.5053,21.53,17,28,4.12,NA,1717879998
25,puerto natales,-51.7236,-72.4875,2.25,100,75,2.06,CL,1717879998
26,tindouf,27.6711,-8.1474,31.25,15,0,6.69,DZ,1717879998
27,gstaad,46.4721,7.2869,16.67,96,100,0.8,CH,1717879999
28,angaur state,6.906,134.13,28.52,77,100,4.59,PW,1717879999
29,hammerfest,70.6634,23.6821,7.25,87,75,5.66,NO,1717879999
30,ambon,-3.6954,128.1814,26.6,15,100,5.34,ID,1717879999
31,igrim,63.1906,64.4162,9.1,69,39,2.38,RU,1717879999
32,papatowai,-46.5619,169.4708,8.59,81,100,2.71,NZ,1717880000
33,grytviken,-54.2811,-36.5092,-1.44,95,100,3.61,GS,1717880000
34,praia da vitoria,38.7333,-27.0667,20.98,83,40,3.77,PT,1717880000
35,mahina,-17.5065,-149.489,25.87,83,75,2.06,PF,1717880000
36,cole harbour,44.6724,-63.4751,13.66,95,100,5.66,CA,1717880001
37,isabela,6.7085,121.9711,25.86,89,100,1.83,PH,1717880001
38,iskateley,67.6803,53.1512,1.64,86,87,2.69,RU,1717880001
39,kulhudhuffushi,6.6221,73.07,28.36,79,96,6.93,MV,1717880002
40,fort mcmurray,56.7268,-111.381,8.77,71,100,4.12,CA,1717880002
41,san patricio,28.017,-97.5169,35.65,41,5,7.69,US,1717880003
42,college,64.8569,-147.8028,26.36,27,75,6.69,US,1717880003
43,nsanje,-16.92,35.262,21.27,75,100,3.3,MW,1717880004
44,shantobe,52.4581,68.1839,17.26,90,39,4.94,KZ,1717880004
45,aasiaat,68.7098,-52.8699,2.02,83,9,3.42,GL,1717880004
46,brunico,46.7958,11.9364,17.28,95,100,0.47,IT,1717879931
47,luganville,-15.5333,167.1667,26.02,82,100,3.23,VU,1717880004
48,dudinka,69.4058,86.1778,2.04,97,86,4.02,RU,1717879776
49,yellowknife,62.456,-114.3525,15.23,50,75,4.63,CA,1717879920
50,ponta delgada,37.7333,-25.6667,19.4,82,40,4.63,PT,1717880005
51,west island,-12.1568,96.8225,26.99,78,75,2.57,CC,1717880005
52,constantia,44.1833,28.65,19.38,68,17,2.75,RO,1717880005
53,edinburgh of the seven seas,-37.0676,-12.3116,16.41,90,100,14.62,SH,1717880006
54,warrenton,-28.114,24.8475,9.86,46,0,3.4,ZA,1717880006
